full_date,date_key,year,quarter,quarter_name,month,month_name,year_month,week,day,day_of_week,day_name,is_weekend,is_month_end
2016-02-28,20160228,2016,1,Q1 2016,2,February,2016-02,8,28,7,Sunday,1,0
2016-02-29,20160229,2016,1,Q1 2016,2,February,2016-02,9,29,1,Monday,0,1
2016-03-01,20160301,2016,1,Q1 2016,3,March,2016-03,9,1,2,Tuesday,0,0
2016-03-02,20160302,2016,1,Q1 2016,3,March,2016-03,9,2,3,Wednesday,0,0
2016-03-03,20160303,2016,1,Q1 2016,3,March,2016-03,9,3,4,Thursday,0,0
2016-03-04,20160304,2016,1,Q1 2016,3,March,2016-03,9,4,5,Friday,0,0
2016-03-05,20160305,2016,1,Q1 2016,3,March,2016-03,9,5,6,Saturday,1,0
2016-03-06,20160306,2016,1,Q1 2016,3,March,2016-03,9,6,7,Sunday,1,0
2016-03-07,20160307,2016,1,Q1 2016,3,March,2016-03,10,7,1,Monday,0,0
2016-03-08,20160308,2016,1,Q1 2016,3,March,2016-03,10,8,2,Tuesday,0,0
2016-03-09,20160309,2016,1,Q1 2016,3,March,2016-03,10,9,3,Wednesday,0,0
2016-03-10,20160310,2016,1,Q1 2016,3,March,2016-03,10,10,4,Thursday,0,0
2016-03-11,20160311,2016,1,Q1 2016,3,March,2016-03,10,11,5,Friday,0,0
2016-03-12,20160312,2016,1,Q1 2016,3,March,2016-03,10,12,6,Saturday,1,0
2016-03-13,20160313,2016,1,Q1 2016,3,March,2016-03,10,13,7,Sunday,1,0
2016-03-14,20160314,2016,1,Q1 2016,3,March,2016-03,11,14,1,Monday,0,0
2016-03-15,20160315,2016,1,Q1 2016,3,March,2016-03,11,15,2,Tuesday,0,0
2016-03-16,20160316,2016,1,Q1 2016,3,March,2016-03,11,16,3,Wednesday,0,0
2016-03-17,20160317,2016,1,Q1 2016,3,March,2016-03,11,17,4,Thursday,0,0
2016-03-18,20160318,2016,1,Q1 2016,3,March,2016-03,11,18,5,Friday,0,0
2016-03-19,20160319,2016,1,Q1 2016,3,March,2016-03,11,19,6,Saturday,1,0
2016-03-20,20160320,2016,1,Q1 2016,3,March,2016-03,11,20,7,Sunday,1,0
2016-03-21,20160321,2016,1,Q1 2016,3,March,2016-03,12,21,1,Monday,0,0
2016-03-22,20160322,2016,1,Q1 2016,3,March,2016-03,12,22,2,Tuesday,0,0
2016-03-23,20160323,2016,1,Q1 2016,3,March,2016-03,12,23,3,Wednesday,0,0
2016-03-24,20160324,2016,1,Q1 2016,3,March,2016-03,12,24,4,Thursday,0,0
2016-03-25,20160325,2016,1,Q1 2016,3,March,2016-03,12,25,5,Friday,0,0
2016-03-26,20160326,2016,1,Q1 2016,3,March,2016-03,12,26,6,Saturday,1,0
2016-03-27,20160327,2016,1,Q1 2016,3,March,2016-03,12,27,7,Sunday,1,0
2016-03-28,20160328,2016,1,Q1 2016,3,March,2016-03,13,28,1,Monday,0,0
2016-03-29,20160329,2016,1,Q1 2016,3,March,2016-03,13,29,2,Tuesday,0,0
2016-03-30,20160330,2016,1,Q1 2016,3,March,2016-03,13,30,3,Wednesday,0,0
2016-03-31,20160331,2016,1,Q1 2016,3,March,2016-03,13,31,4,Thursday,0,1
2016-04-01,20160401,2016,2,Q2 2016,4,April,2016-04,13,1,5,Friday,0,0
2016-04-02,20160402,2016,2,Q2 2016,4,April,2016-04,13,2,6,Saturday,1,0
2016-04-03,20160403,2016,2,Q2 2016,4,April,2016-04,13,3,7,Sunday,1,0
2016-04-04,20160404,2016,2,Q2 2016,4,April,2016-04,14,4,1,Monday,0,0
2016-04-05,20160405,2016,2,Q2 2016,4,April,2016-04,14,5,2,Tuesday,0,0
2016-04-06,20160406,2016,2,Q2 2016,4,April,2016-04,14,6,3,Wednesday,0,0
2016-04-07,20160407,2016,2,Q2 2016,4,April,2016-04,14,7,4,Thursday,0,0
2016-04-08,20160408,2016,2,Q2 2016,4,April,2016-04,14,8,5,Friday,0,0
2016-04-09,20160409,2016,2,Q2 2016,4,April,2016-04,14,9,6,Saturday,1,0
2016-04-10,20160410,2016,2,Q2 2016,4,April,2016-04,14,10,7,Sunday,1,0
2016-04-11,20160411,2016,2,Q2 2016,4,April,2016-04,15,11,1,Monday,0,0
2016-04-12,20160412,2016,2,Q2 2016,4,April,2016-04,15,12,2,Tuesday,0,0
2016-04-13,20160413,2016,2,Q2 2016,4,April,2016-04,15,13,3,Wednesday,0,0
2016-04-14,20160414,2016,2,Q2 2016,4,April,2016-04,15,14,4,Thursday,0,0
2016-04-15,20160415,2016,2,Q2 2016,4,April,2016-04,15,15,5,Friday,0,0
2016-04-16,20160416,2016,2,Q2 2016,4,April,2016-04,15,16,6,Saturday,1,0
2016-04-17,20160417,2016,2,Q2 2016,4,April,2016-04,15,17,7,Sunday,1,0
2016-04-18,20160418,2016,2,Q2 2016,4,April,2016-04,16,18,1,Monday,0,0
2016-04-19,20160419,2016,2,Q2 2016,4,April,2016-04,16,19,2,Tuesday,0,0
